"code", "description"
"0034","Worm raising-"
"0035","Algae farming-"
"0035","Bedding plant growers"
"0035","Blanket or wreath -evergreen-"
"0035","Farm product-bulbs, flowers-"
"0035","Farm product-flowers, field growing-"
"0035","Farm-florist"
"0035","Florist-farm-"
"0035","Hydroponic growing of vegetables-"
"0035","Mushroom raising-"
"0035","Wreath or blanket -evergreen-"
"0036","Dairy farm operation-"
"0036","Farm product-dairy-"
"0036","Farm-dairy"
"0037","Corn detasselling-"
"0037","Cotton picking-"
"0037","Farm product-alfalfa-"
"0037","Farm product-barley-"
"0037","Farm product-beans, dry-"
"0037","Farm product-beets, sugar-"
"0037","Farm product-cantaloupes-"
"0037","Farm product-clover-"
"0037","Farm product-corn-"
"0037","Farm product-dill-"
"0037","Farm product-garlic-"
"0037","Farm product-grain-"
"0037","Farm product-grass seed-"
"0037","Farm product-hay-"
"0037","Farm product-melons-"
"0037","Farm product-millet-"
"0037","Farm product-mint-"
"0037","Farm product-mustard-"
"0037","Farm product-oats-"
"0037","Farm product-onions, dry-"
"0037","Farm product-peanuts-"
"0037","Farm product-peas, dry-"
"0037","Farm product-peas, green-"
"0037","Farm product-peppermint-"
"0037","Farm product-pineapples-"
"0037","Farm product-potatoes-"
"0037","Farm product-pumpkins-"
"0037","Farm product-rice-"
"0037","Farm product-rye-"
"0037","Farm product-squash-"
"0037","Farm product-sugar beets-"
"0037","Farm product-sugar cane-"
"0037","Farm product-timothy-"
"0037","Farm product-tobacco-"
"0037","Farm product-watermelons-"
"0037","Farm product-wheat-"
"0037","Farm-field crops"
"0037","Farm-NOC"
"0037","Grazing land maintenance-"
"0037","Moss gathering-"
"0037","Peppermint distillation by farmers-"
"0037","Sod farming-"
"0037","Spice growing-"
"0037","Tobacco farms-"
"0042","Artificial turf-installation only-"
"0042","Landscape gardening"
"0042","Road or street sodding or beautification work-"
"0042","Street or road construction-beautification work-"
"0042","Street or road sodding or beautification work-"
"0050","Anhydrous ammonia-application to soil by contractors"
"0050","Corn shelling-portable-"
"0050","Electric, telephone or alarm line-brush or weed control by spraying-existing right-of-way-"
"0050","Farm machinery operation-by contractor-"
"0050","Feed -portable-"
"0050","Fertilizer application-specialist contractor-"
"0050","Hay baling"
"0050","Insect control-crops, spraying from ground by specialist contractor-"
"0050","Weed control-spraying from ground by specialist contractor-"
"0079","Cranberry growers"
"0079","Farm product-berries-"
"0079","Farm product-cranberries-"
"0079","Farm product-currants-"
"0079","Farm product-grapes-"
"0079","Farm product-hops-"
"0079","Farm product-kiwi-"
"0079","Farm product-strawberries-"
"0079","Farm product-vineyards-"
"0079","Farm-berry or vineyard-"
"0079","Farm-vineyard or berry-"
"0083","Artificial insemination of cattle-. All other than professional employees"
"0083","Dude ranches-cattle ranches"
"0083","Farm product-cattle-"
"0083","Farm product-goats-"
"0083","Farm product-hogs-"
"0083","Farm product-horses-"
"0083","Farm product-sheep-"
"0083","Farm-cattle or livestock raising NOC"
"0083","Farm-goat or sheep raising"
"0083","Farm-livestock or cattle raising NOC"
"0083","Farm-sheep or goat raising"
"0106","Christmas tree harvesting exclusively-"
"0106","Electric, telephone or alarm line-tree pruning, spraying or removal-existing right-of-way-"
"0106","Tree pruning, spraying, repairing"
"0113","Farm product-fish hatcheries-"
"0113","Farm-fish hatchery"
"0113","Fish hatcheries-"
"0170","Alligator farms-"
"0170","Chinchilla raising-"
"0170","Farm product-animals-fur bearing-"
"0170","Farm-animal raising (fur bearing)"
"0170","Fox raising-"
"0170","Fur bearing animals-, raising of"
"0170","Laboratory animals-breeding or care-"
"0170","Mink raising-"
"0251","Ditch cleaning-irrigation-"
"0251","Irrigation or drainage system or canal maintenance-"
"0251","Irrigation works operation"
"0400","Cotton compressing"
"0401","Cotton gin operation & local managers, drivers"
"0401","Decortication-fibrous plants-"
"0908","Domestic workers-inside-occasional"
"0909","Domestic workers-outside-occasional-including occasional private chauffeurs"
"0912","Domestic workers-outside-including private chauffeurs"
"0913","Domestic workers-inside"
"0917","Domestic service contractor-inside"
"1005","Coal mining-surface-"
"1016","Coal mining-NOC"
"1164","Cave expansion-"
"1164","Caves-excavation of new areas for exhibition purposes-"
"1164","Clay mining-underground-"
"1164","Mineral mining-underground-"
"1164","Mining NOC-not coal-underground-"
"1164","Ore mining-underground-"
"1164","Stone mining-underground-"
"1165","Asbestos-surface mining-"
"1165","Asphalt-surface mining-"
"1165","Chalk-surface mining-"
"1165","Graphite-surface mining-"
"1165","Gypsum-surface mining-"
"1165","Mica-surface mining-"
"1165","Mining NOC-not coal-surface"
"1165","Ore mining-surface-"
"1165","Phosphate rock-surface mining-"
"1165","Talc-surface mining-"
"1320","Gas or oil lease operator-natural gas-all operations"
"1320","Oil or gas lease operator-all operations"
"1322","Oil or gas well cleaning or swabbing of old wells having previously produced gas or oil-by contractor-no drilling-"
"1430","Lead "
"1430","Smelting, sintering or refining-lead-"
"1438","Blast furnace operation"
"1438","Calcium carbide "
"1438","Magnesium metal -all operations and drivers"
"1438","Metal extraction from ores-non-ferrous-"
"1438","Porcelain frit -"
"1438","Smelting, sintering or refining-metals-not iron or lead-NOC"
"1438","Smelting-electric process-"
"1438","Steel grit -"
"1452","Graphite -not artificial-"
"1452","Ore milling"
"1463","Asphalt works -operated by paving contractors at permanent location"
"1463","Coal billet or briquette "
"1472","Alcohol -wood"
"1472","Camphine "
"1472","Charcoal "
"1472","Coke "
"1472","Creosote "
"1472","Distillation-wood-"
"1472","Pinene -"
"1624","Aplite rock quarry-"
"1624","Ballast rock quarry-"
"1624","Cement rock quarry-"
"1624","Coral rock quarry-"
"1624","Feldspar mining"
"1624","Feldspar quarry-"
"1624","Granite quarry-"
"1624","Limestone quarry-"
"1624","Quarry NOC"
"1624","Rock asphalt quarry-"
"1624","Roofing slate  or slate splitting"
"1624","Silica rock quarry-"
"1624","Slag digging and crushing-"
"1624","Slate quarry-"
"1624","Slate splitting or roofing slate "
"1642","Lime"
"1654","Quarry-cement rock-surface-"
"1655","Lime -quarry-surface-"
"1655","Quarry-limestone-surface-"
"1699","Fiberglass  for insulation purposes"
"1699","Insulating-mineral process"
"1699","Mineral wool"
"1699","Perlite"
"1699","Rock wool"
"1699","Shale aggregateproduction"
"1699","Vermiculite"
"1701","Cement"
"1701","Magnesite"
"1701","Plaster mill"
"1710","Gravel -"
"1710","Stone crushing"
"1741","Flint or spar grinding"
"1741","Mica grinding-"
"1741","Roofing granules -"
"1741","Silica grinding-"
"1741","Slate grinding-"
"1741","Spar or flint grinding"
"1747","Bauxite grinding-"
"1747","Clay milling-"
"1747","Emery works"
"1747","Kaolin grinding-"
"1747","Limestone milling-powdered-"
"1747","Marl grinding-"
"1747","Ochre grinding-"
"1747","Talc mill"
"1748","Abrasive wheel "
"1803","Alabaster turning or carving-"
"1803","Granite cutting or polishing-"
"1803","Grindstone -no quarrying-"
"1803","Limestone cutting or polishing-"
"1803","Lithographing stone -no quarrying-"
"1803","Marble cutting or polishing-"
"1803","Millstone -"
"1803","Monument dealer-wholesale or retail-"
"1803","Sand blasting of castings-"
"1803","Slate milling-"
"1803","Soapstone or soapstone products -"
"1803","Stone cutting or polishing NOC"
"1852","Asbestos cement or shingle"
"1852","Asbestos goods"
"1852","Asbestos pipecovering -from sheet asbestos-no asbestos weaving"
"1853","Mica goods  &mica preparing"
"1853","Mica splitting"
"1860","Abrasive paper orcloth preparation"
"1860","Emery cloth"
"1860","Sandpaper"
"1924","Cable  or wiredrawing-not iron or steel"
"1924","Wire drawing or cable-not iron or steel"
"1925","Die casting"
"2001","Cookie -noon-premises consumption"
"2001","Cracker"
"2001","Ice cream cone"
"2001","Matzoth"
"2002","Macaroni"
"2002","Noodle"
"2002","Pasta"
"2002","Spaghetti"
"2003","Bakery ,route supervisors"
"2003","Donut -no consumption on premises-"
"2003","Frozen bakery products -"
"2003","Pastry -"
"2003","Pizza crust -baked"
"2014","Alfalfa dehydratingor milling"
"2014","Barley milling"
"2014","Corn milling"
"2014","Feed additives for livestock"
"2014","Feed"
"2014","Grain milling"
"2014","Grist mills"
"2014","Milling grain"
"2014","Oat milling"
"2014","Potato flour"
"2014","Rice milling"
"2014","Rye milling"
"2014","Wheat milling"
"2014","Wood flour"
"2016","Breakfast food"
"2016","Cereal"
"2016","Corn flakes"
"2016","Cream of wheat"
"2016","Farina"
"2016","Oatmeal"
"2016","Puffed wheat"
"2021","Beet sugar"
"2021","Honey processing-nobee raising"
"2021","Molasses or syrup refining, blending or"
"2021","Sugar -beet"
"2021","Syrup or molassesrefining"
"2021","Syrup or molasses refining-blending or"
"2039","Gelato "
"2039","Ice cream cabinetinstallation & service, drivers-by ice cream manufacturers"
"2039","Ice cream "
"2039","Ices "
"2039","Sherbert -"
"2041","Candy"
"2041","Chewing gum"
"2041","Chocolate or cocoa"
"2041","Cocoa or chocolate"
"2041","Confection"
"2065","Condensed milk"
"2065","Dehydrating milk"
"2065","Evaporated milk"
"2065","Malted milk-including dehydration of milk"
"2065","Milk products NOC"
"2065","Powdered milk"
"2070","Butter or cheese & route supervisors, drivers"
"2070","Buttermilk -"
"2070","Cheese or butter & route supervisors, drivers"
"2070","Creamery or dairy &route supervisors, drivers"
"2070","Milk bottle exchange-all employees"
"2070","Milk depot or milkdealer & route supervisors, drivers"
"2081","Butchering"
"2081","Slaughtering"
"2081","Stockyard &butchering"
"2089","Packing house-alloperations"
"2095","Dehydrating meats"
"2095","Fish curing"
"2095","Fish evaporating,pickling, salting, smoking"
"2095","Meat products NOC"
"2095","Sausage casing-wholesale-including cleaning"
"2095","Sausage or sausage casing"
"2105","Fruit packing"
"2110","Pickle"
"2110","Pickled pepper"
"2110","Pickled tomato"
"2110","Sauerkraut"
"2111","Aerosol productspackaging"
"2111","Cannery NOC"
"2111","Cannery: maintenance& security employees"
"2111","Canning-motor oil"
"2111","canning-turpentine"
"2111","Cat food -canningoperation"
"2111","Dog food -canningoperation"
"2111","Frozen vegetableproducts -preparation similar to canning"
"2111","Pea de-veining atcannery"
"2112","Dehydrating soup"
"2112","Dehydratingvegetables"
"2112","Frozen fruitprocessing or packing"
"2112","Fruit evaporating orpreserving"
"2112","Jam"
"2112","Jelly"
"2112","Preserves (fruit)"
"2112","Syrup -fruit-forsoda fountains"
"2114","Clam digging"
"2114","Oyster processing"
"2121","Brewery"
"2121","Malt house"
"2130","Alcohol-grain-all operations"
"2130","Alcohol-potato-all operations"
"2130","Brandy distillery"
"2130","Distillery-spirituousliquor"
"2130","Gin distillery"
"2130","Rum distillery"
"2130","Spirituous liquordistillery"
"2130","Vodka distillery"
"2130","Whiskey distillery"
"2131","Bottling-spirituousliquor-not beer or wine"
"2131","Liquor bottling-notbeer or wine, including warehousing rectifying or blending"
"2131","Spirituous liquorbottling"
"2131","Whiskey bottling-notbeer or wine, including warehousing rectifying or blending"
"2143","Cider"
"2143","Fruit juice"
"2143","Vinegar"
"2143","Winery"
"2150","Ice"
"2150","Ice -block"
"2150","Ice -crushedbagged"
"2156","Bottling of wine-not carbonated-"
"2156","Bottling-notcarbonated liquids or spirituous liquors-& route supervisors,drivers"
"2156","Cider bottling-"
"2156","Soft drinks-canning-not carbonated-"
"2156","Vinegar bottling-"
"2156","Wine bottling-"
"2157","Ale bottling-"
"2157","Beer bottling-"
"2157","Beverage-carbonated-NOC & route supervisors, drivers"
"2157","Bottling NOC & routesupervisors, drivers"
"2157","Bottling of wine-carbonated-"
"2157","Carbonated beverage  NOC & route supervisors, drivers"
"2157","Cream-aerated under pressure-"
"2157","Soft drinks-canning-carbonated-"
"2172","Cigar"
"2172","Cigarette filter"
"2172","Cigarette"
"2172","Snuff"
"2174","Tobacco rehandling orwarehousing"
"2211","Carbonizing textilematerials"
"2211","Cotton batting, wadding or waste"
"2211","Shoddy"
"2211","Sisal garnetting"
"2211","Textile or fiberwaste reprocessing"
"2211","Wool combing orscouring"
"2211","Wool separating"
"2220","Animal hairtwisting-for upholstering use"
"2220","Carpet lining from woven fibers"
"2220","Carpet or rug-jute or hemp"
"2220","Chenille clothmanufacturing"
"2220","Cord or twine-cotton"
"2220","Cordage, rope ortwine  NOC"
"2220","Cotton spinning andweaving"
"2220","Flax spinning andweaving"
"2220","Hemp or jute spinningand weaving"
"2220","Jute or hemp spinningand weaving"
"2220","Linen cloth"
"2220","Linen thread"
"2220","Mop head -fromcotton waste"
"2220","Rope, cordage ortwine  NOC"
"2220","Rug or carpet-jute or hemp"
"2220","Thread or yarn-cotton"
"2220","Twine or cord-cotton"
"2220","Twine, cordage orrope  NOC"
"2220","Yarn or thread-cotton"
"2286","Wool spinning andweaving"
"2286","Yarn -wool"
"2288","Air conditioningfilter media -nonwoven"
"2288","Automobile floor mat  from felt or felt-like material"
"2288","Automobile interiortrim  from felt or felt-like material"
"2288","Felting"
"2288","Mattress pad from felt or felt-like material"
"2300","Plush or velvet"
"2300","Velvet or plush"
"2302","Glass yarn weaving"
"2302","Plastic yarn weaving"
"2302","Ribbon -textilefabrics"
"2302","Silk thread or yarn"
"2302","Silk throwing andweaving"
"2302","Synthetic yarn"
"2302","Thread or yarn-silk"
"2302","Weaving mills usingmixed yarns"
"2302","Yarn or thread-silk"
"2305","Acetate textile fiber"
"2305","Nylon textile fiber"
"2305","Plastic thread"
"2305","Polyester textile fiber"
"2305","Rayon"
"2305","Textile fiber-synthetic"
"2352","Cordage, rope ortwine  NOC (MO, NJ, OK)"
"2361","Hosiery dyeing andfinishing"
"2361","Hosiery"
"2362","Glove or mitten-knit"
"2362","Knit goods  NOC"
"2362","Mitten or glove-knit"
"2362","Necktie -knitted"
"2380","Braid or fringe"
"2380","Fringe or braid"
"2380","Label -wovenlabels"
"2380","Net"
"2380","Pipe cleaner"
"2380","Webbing"
"2386","Lace"
"2388","Embroidery"
"2388","Nailheadornamentation"
"2388","Pleating andstitching or tucking-not clothing manufacturing"
"2388","Trimmings orribbons-hand sewing on finished garments"
"2388","Trimmings-manufacturing fancy trimming or piping-notmanufacturing binding tape or ribbon"
"2402","Carpet or rug NOC"
"2402","Chenille carpetmanufacturing"
"2402","Hose -woven firehose from linen thread"
"2402","Rug -braided rugs"
"2402","Rug or carpet NOC"
"2413","Flock coating oftextiles"
"2413","Mercerizing textile"
"2413","Silk-screen processcloth printing-machinery operations prior to or after handoperations"
"2413","Textile-bleaching,dyeing, mercerizing, finishing"
"2416","Mercerizing yarn"
"2416","Thread or yarn dyeingor finishing"
"2416","Yarn or thread dyeingor finishing"
"2417","Cloth printing"
"2501","Automobile seat cover"
"2501","Chenille products  from chenille cloth-no carpet or cloth"
"2501","Clothing"
"2501","Collar"
"2501","Cushion, pillow or quilt"
"2501","Doll clothing or cloth dolls or cloth parts"
"2501","Draperies or curtain-from cloth, paper or plastic-cutting and sewing"
"2501","Feather pillow"
"2501","Fur clothing"
"2501","Furnishing goods NOC"
"2501","Furriers-repairing orremodeling fur garments"
"2501","Hat frame-ladies-from buckram"
"2501","Hat"
"2501","Jewelry traymanufacture-fabric"
"2501","Lamp shade-parchment or textile-(frame manufacturing to be separatelyrated)"
"2501","Lingerie"
"2501","Lining -hat"
"2501","Linings-sewing intocoats by hand"
"2501","Millinery"
"2501","Mosquitonetting-cutting, sewing"
"2501","Parachute"
"2501","Pillow, quilt or cushion"
"2501","Powder puff -fromfabrics or dressed wool skins"
"2501","Quilt, cushion or pillow"
"2501","Quilted cloth-for garments and garment linings"
"2501","Shirt"
"2501","Shoe ornament-fabric"
"2501","Sign -silk-screenprinting-cloth"
"2501","Silk-screen processcloth printing-hand printing operations"
"2501","Suspender"
"2501","Textilemending-invisible textile weaving of wearing apparel"
"2501","Toy-cloth-stuffed animals or toys"
"2501","Umbrella"
"2503","Dressmaking ortailoring-custom exclusively"
"2503","Fur coat and jacket-custom-made"
"2503","Tailoring ordressmaking-custom exclusively"
"2534","Christmas tree-aluminum"
"2534","Feather or flower-artificial"
"2534","Flower or feather-artificial"
"2534","Fur pointing"
"2534","Hair goods"
"2570","Box spring or mattress"
"2570","Mattress or box spring"
"2576","Apron  fromcanvas material"
"2576","Automobile convertible top"
"2576","Awning manufacturing:canvas products"
"2576","Awning or tent-shop"
"2576","Bag  from canvasmaterial"
"2576","Buffing or polishing cloth, cloth disks or cloth wheel"
"2576","Canvas goods NOC-shop"
"2576","Sail making"
"2576","Tarpaulin  fromcanvas material"
"2576","Tent or awning-shop"
"2578","Bag or sack-cloth"
"2578","Bag renovating"
"2578","Sack or bag-cloth"
"2582","Cleaning or dyeingcollecting or distributing station"
"2585","Carpet, rug or upholstery cleaning-shop or outside"
"2585","Diaper service &route supervisors, drivers"
"2585","Laundry NOC & routesupervisors, drivers"
"2585","Laundry-non-fabricgoods"
"2585","Rug, carpet or upholstery-cleaning-shop or outside-"
"2585","Upholstery, carpet or rug cleaning"
"2585","Venetian blind laundries-"
"2586","Cleaning or dyeing &route supervisors, drivers"
"2586","Dyeing or cleaning &route supervisors, drivers"
"2586","Feather dyeing-"
"2586","Fur clothing-cleaning, tumbling, glazing, combing and ironing-"
"2587","Toilet or towelsupply co. & route supervisors, drivers"
"2587","Towel or toiletsupply co. & route supervisors, drivers"
"2589","Dry cleaning andlaundry store-retail-& route supervisors, drivers"
"2589","Laundry and drycleaning store-retail-& route supervisors, drivers"
"2600","Fur dressing ordyeing"
"2600","Fur -preparingskins"
"2600","Hair-preparation forbrush manufacturers (dehairing to be separately rated)"
"2623","Hatters' fur"
"2623","Leather dressing"
"2623","Leather embossing"
"2623","Leather -patentor enamel"
"2623","Sheepskin pickling"
"2623","Tanning"
"2623","Wool pulling"
"2651","Gasket or washer-not metal"
"2651","Shoe findings"
"2651","Shoe stock"
"2651","Washer or gasket-not metal"
"2660","Boot or shoe  NOC"
"2660","Shoe or boot  NOC"
"2660","Slipper"
"2670","Glove lining"
"2670","Glove -includingbaseball, boxing, handball and punching bag gloves"
"2670","Glove -leather ortextile"
"2683","Hand luggage"
"2683","Luggage -hand"
"2688","Football, soccer,volleyball or basketball -(bladder  to be separatelyrated)"
"2688","Key case  fromleather, imitation leather or vinyl"
"2688","Leather belting"
"2688","Leather goods NOC"
"2688","Leather skiving"
"2688","Pocketbook"
"2688","Pocketbook  fromleather, imitation leather or vinyl"
"2688","Wallet  fromleather, imitation leather or vinyl"
"2688","Welting -leather,latex, burlap, paper, twine, etc."
"2702","Bark peeling in connection with logging-"
"2702","Bark peeling-contractors-for pulpwood-"
"2702","Dam or lock construction-timber or brush cutting and removal"
"2702","Electric, telephone or alarm line-clearing of new right-of-way-standing timber-"
"2702","Logging or lumbering"
"2702","Logging or lumbering:all other employees"
"2710","Barking mills"
"2710","Chip harvesteroperation-portable or permanent"
"2710","Green chainoperation-lumber"
"2710","Lath -wood"
"2710","Log cabin-sawmill operation"
"2710","Log processing-posts& rails for fences"
"2710","Sawmill"
"2710","Shingle -wood"
"2710","Snow fence :cutting lath from logs"
"2710","Wood chip"
"2710","Wood shaving(excelsior)  in sawmill"
"2714","Veneer"
"2731","Baseboard -wood"
"2731","Dowel -wood"
"2731","Dressed lumber mill"
"2731","Flooring -wood"
"2731","Lumberremanufacturing"
"2731","Molding -wood"
"2731","Picture frame molding"
"2731","Planing or moldingmill"
"2731","Wood shaving(excelsior)  in planing or molding mill"
"2735","Barrel stock"
"2735","Cooperage stock"
"2735","Furniture stock"
"2735","Last block"
"2735","Pencil stock-wood"
"2735","Pipe block or blank-wooden smoking"
"2735","Stave -wood"
"2759","Box or box shook-wooden"
"2759","Packing case"
"2759","Pallet & skid-wood"
"2759","Pallet manufactureand repair-wood"
"2759","Skid -wooden"
"2790","Airplane propeller-wood"
"2790","Airplane-model kit  (high grade)"
"2790","Architectural scalemodel building"
"2790","Last or shoe form"
"2790","Model ships, railroador aircraft kit -high grade"
"2790","Mold -aluminumfor plastics industry"
"2790","Pattern making NOC"
"2790","Shoe form or last form"
"2790","Wood carving-by handor machine"
"2791","Pipe -wooden,tobacco (MD, MO, NC, NJ, OK, VA, VT)"
"2802","Bleacher -wood-"
"2802","Building beam or column -wood-"
"2802","Building-portable-wood"
"2802","Carpentry-shop only-"
"2802","Door, sash or assembled millwork -wood"
"2802","Fence -wood, picket-"
"2802","Ladder -wood-"
"2802","Laminated wood building beams and columns -"
"2802","Modular homes (factory built)-wood-"
"2802","Prefabricated house--wood-shop work-"
"2802","Roof truss -wood-"
"2802","Sash, door or assembled millwork -wood-"
"2802","Screen -window-wood-"
"2802","Silo building-wood-shop-"
"2802","Staircase fabrication-wood-"
"2802","Tank building-wood-shop-"
"2802","Wheelbarrow -wood-"
"2802","Windmill -wood-"
"2802","Window screen -wood-"
"2812","Advertising displays-wooden"
"2812","Automobile trailer-home-type"
"2812","Cabinet works-withpower machinery"
"2812","Exhibition boothfabrication"
"2812","Incubator -wood"
"2812","Kitchencabinets-manufacture"
"2812","Parade floatfabrication"
"2812","Refrigerated showcase-wood"
"2812","Showcase -wood"
"2812","Sign -wood-nopainting-using power machinery"
"2812","Stage sceneryfabrication"
"2812","Trailer-home-type"
"2835","Brush or broomassembly"
"2835","Mop -assemblyonly"
"2836","Brush or broom NOC"
"2841","Baseball bat"
"2841","Bobbin and spool-wood"
"2841","Box -wood framesfor traveling or luggage bags"
"2841","Brush or broom handle"
"2841","Coat hanger -wood"
"2841","Cork board  and cork products"
"2841","Cork cutting works"
"2841","Crutch -wood"
"2841","Golf club heads orshafts -wood"
"2841","Gunstock"
"2841","Handle -wood"
"2841","Hat block -wood"
"2841","Heel-wood-covering to be separately rated"
"2841","Hub and spoke-wood"
"2841","Jewelry traymanufacture-wooden"
"2841","Match stick-(stick portion only-refer to Code 4279 for  of completematch)"
"2841","Peg and skewer-wood"
"2841","Pipe -wooden,tobacco"
"2841","Pulley block-wood"
"2841","Saddle tree"
"2841","Shade roller-wood"
"2841","Shuttle"
"2841","Skimanufacturing-wood"
"2841","Spool -wood"
"2841","Toothpick"
"2841","Toy -wood"
"2841","Wheel or caster-wood"
"2841","Window shade roller"
"2841","Wood turned products  NOC"
"2841","Woodenware  NOC"
"2881","Barrel assembly"
"2881","Barrel dealersincluding repairing-wood"
"2881","Bed assembling-wood"
"2881","Cabinet works-nopower woodworking machinery"
"2881","Cask assembly"
"2881","Casket or coffin or assembly-wood"
"2881","Chair assembling-wood"
"2881","Clock assembly towood base"
"2881","Coffin  orassembly-wood"
"2881","Coffin or casket or assembly-wood"
"2881","Cooperage assembly"
"2881","Furnitureassembly-wood-from manufactured parts"
"2881","Keg assembly"
"2881","Picture frameassembling-from manufactured parts"
"2881","Sign -wood-nopainting or using power machinery"
"2881","Table assembling-wood"
"2881","Trophy -wooden"
"2881","Tubassembly-cooperage"
"2881","Venetian blindassembly"
"2883","Airplanesubassemblies -wood"
"2883","Billiard table"
"2883","Box -cigar-wood"
"2883","Cabinet  foraudio or visual device"
"2883","Cedar chest"
"2883","Furniture-wood-NOC"
"2883","Lamp -wooden"
"2883","Piano case"
"2883","Speaker enclosure  including assembly of components"
"2883","Tank, seat or cabinet-toilet-wood"
"2883","Trunk -metalframes or fittings to be separately rated"
"2913","Basket -willowware"
"2913","Fiber furniture"
"2913","Furniture-rattan, willow or twisted fiber"
"2913","Plants (fibrous) goods"
"2913","Rattan, willow or twisted fiber products"
"2913","Willow ware"
"2913","Willow, rattan or twisted fiber products"
"2915","Barrel -wood veneer-incl. veneer"
"2915","Basket -wood veneer-incl. veneer"
"2915","Plywood-including veneer"
"2915","Veneer products-including veneer"
"2916","Barrel -wood veneer-no veneer"
"2916","Basket -wood veneer-no veneer"
"2916","Panel -veneered, no veneer"
"2916","Plywood -no veneer"
"2916","Table & desk top-veneered, no veneer"
"2916","Veneer products-no veneer"
"2923","Musical instrument-wood-NOC"
"2923","Organ building &installation"
"2923","Piano keys"
"2923","Piano"
"2942","Crayon, pencil or penholder"
"2942","Lead pencil"
"2942","Pencil"
"2942","Pencil, penholder or crayon"
"2942","Penholder, crayon or pencil"
"2960","Pole, post or tie yard"
"2960","Telephone poles-treating-"
"2960","Tie, post or pole yard"
"2960","Wood preserving"
"3004","Iron or steel -steelmaking"
"3018","Iron or steel : doubling process-"
"3018","Iron or steel -rolling mill"
"3018","Rolling mill-iron or steel "
"3022","Pipe manufacturing NOC"
"3022","Pipe or tube  NOC"
"3022","Tubing -non-ferrous-for automobile exhaust systems-"
"3027","Brass plate, sheet, strip or coil stock -"
"3027","Copper plate, sheet, strip or coil stock -"
"3027","Lead works"
"3027","Pipe or tube -lead-"
"3027","Rolling mill NOC"
"3028","Pipe or tube -iron or steel"
"3028","Tubing -iron or steel-for automobile exhaust systems-"
"3030","Iron or steel-iron or steel works-shop-structural-"
"3040","Aircraft landing mats -by welding"
"3040","Balcony fabrication-iron or steel-"
"3040","Burial vault -metal-"
"3040","Crab pot -"
"3040","Door -metal(heavy metal)"
"3040","Elevator door fabrication-iron or steel-"
"3040","Fire door fabrication-iron or steel"
"3040","Fire escape fabrication-iron or steel-"
"3040","Iron or steel-iron works-shop-ornamental-"
"3040","Railings fabrication-iron or steel-"
"3040","Shutter fabrication-iron or steel-"
"3040","Staircase fabrication-iron or steel-"
"3041","Facade fabrication-metal-"
"3041","Furniture -wrought iron-"
"3041","Iron or steel-fabrication ironworks-shop-decorative or artistic-foundries"
"3041","Memorial plaque fabrication-metal-"
"3041","Sculptures, hand formed-metal-"
"3041","Sun dial fabrication-metal-"
